dcs_rnd1_282|Templul atrage o mulțime de turiști|Templul atrage o mulțime de turiști
dcs_rnd1_283|Femeia este acuzată de săvârșirea infracțiunilor de înșelăciune și fals în înscrisuri sub semnătură privată|Femeia este acuzată de săvârșirea infracțiunilor de înșelăciune și fals în înscrisuri sub semnătură privată
dcs_rnd1_284|Investitorii care au ales drept plasamente indicii bursieri, în intervalul analizat, au avut și ei de câștigat|Investitorii care au ales drept plasamente indicii bursieri, în intervalul analizat, au avut și ei de câștigat
dcs_rnd1_285|Partea care rămâne pentru educație și cultură este foarte mică, insuficientă pentru un trai decent|Partea care rămâne pentru educație și cultură este foarte mică, insuficientă pentru un trai decent
dcs_rnd1_286|Baloanele sunt foarte frumoase|Baloanele sunt foarte frumoase
dcs_rnd1_287|Ambii au părăsit ieri cantonamentul pentru a nu răspândi virusul în rândul celorlalți fotbaliști|Ambii au părăsit ieri cantonamentul pentru a nu răspândi virusul în rândul celorlalți fotbaliști
dcs_rnd1_288|În nouăzeci și doi nouăzeci și patru vindeam ziare, a precizat Mazăre|În nouăzeci și doi nouăzeci și patru vindeam ziare, a precizat Mazăre
dcs_rnd1_289|Se întâmpla în iulie două mii patru, în capitală|Se întâmpla în iulie două mii patru, în capitală
dcs_rnd1_290|Lazic avea drept de joc și putea fi folosit de antrenor fără niciun fel de problemă|Lazic avea drept de joc și putea fi folosit de antrenor fără niciun fel de problemă
dcs_rnd1_291|Nu mi-a venit să cred că în comuna noastră trăiesc astfel de persoane, a afirmat Mariana Gâju|Nu mi-a venit să cred că în comuna noastră trăiesc astfel de persoane, a afirmat Mariana Gâju
dcs_rnd1_292|Mie îmi place să cred că ceea ce scriu eu este poezie|Mie îmi place să cred că ceea ce scriu eu este poezie
dcs_rnd1_293|Practic, eu nu mă pot folosi de el a spus târnoveanca|Practic, eu nu mă pot folosi de el a spus târnoveanca
dcs_rnd1_294|Au fost fete care s-au lăsat de handbal|Au fost fete care s-au lăsat de handbal
dcs_rnd1_295|Serbia este o echipă sub a Franței, ca organizare și valoare individuală|Serbia este o echipă sub a Franței, ca organizare și valoare individuală
dcs_rnd1_296|După numai un an, a câștigat, prin concurs, una dintre cele două burse oferite de Universitatea București studenților basarabeni|După numai un an, a câștigat, prin concurs, una dintre cele două burse oferite de Universitatea București studenților basarabeni
dcs_rnd1_297|Cei aniversați primesc cadouri din partea primăriei municipiului Alba Iulia|Cei aniversați primesc cadouri din partea primăriei municipiului Alba Iulia
dcs_rnd1_298|În vârstă de douăzeci și cinci ani, care conducea un autoturism înmatriculat în Republica Moldova|În vârstă de douăzeci și cinci ani, care conducea un autoturism înmatriculat în Republica Moldova
dcs_rnd1_299|Zidul casei mele s-a crăpat|Zidul casei mele s-a crăpat
dcs_rnd1_300|Tergiversarea rezolvării lucrurilor ar putea duce la o situație grea și nu vor mai fi bani pentru salarii|Tergiversarea rezolvării lucrurilor ar putea duce la o situație grea și nu vor mai fi bani pentru salarii
dcs_rnd1_301|O întâlnire cuprinde o parte literar artistică și o petrecere a gorjenilor la restaurant, a declarat directorul Metrorex|O întâlnire cuprinde o parte literar artistică și o petrecere a gorjenilor la restaurant, a declarat directorul Metrorex
dcs_rnd1_302|După ce ne-au închis, am tăcut vreo câteva minute bune, cât i-am auzit că sunt acolo|După ce ne-au închis, am tăcut vreo câteva minute bune, cât i-am auzit că sunt acolo
dcs_rnd1_303|Tânăra își amintește că și-a petrecut mult timp și în fața meselor de călcat|Tânăra își amintește că și-a petrecut mult timp și în fața meselor de călcat
dcs_rnd1_304|Suntem pensionari, deci am dat după putere, a declarat Mihail Ciulma din Constanța|Suntem pensionari, deci am dat după putere, a declarat Mihail Ciulma din Constanța
dcs_rnd1_305|Partidul Social Democrat din Germania suferă o înfrângere fără precedent după război și cade la douăzeci și trei la sută|Partidul Social Democrat din Germania suferă o înfrângere fără precedent după război și cade la douăzeci și trei la sută
dcs_rnd1_306|Cei trei angajați implicați în eveniment au fost audiați și ieri|Cei trei angajați implicați în eveniment au fost audiați și ieri
dcs_rnd1_307|Judecătorii vor continua protestele până la cinci octombrie|Judecătorii vor continua protestele până la cinci octombrie
dcs_rnd1_308|În consecință, pot acționa mai rapid și mai eficient|În consecință, pot acționa mai rapid și mai eficient
dcs_rnd1_309|Domeniile în care activează sunt producția, construcțiile, imobiliar|Domeniile în care activează sunt producția, construcțiile, imobiliar
dcs_rnd1_310|Dacă există suspiciuni, el trebuie să anunțe imediat poliția pentru a confirma controlul în trafic|Dacă există suspiciuni, el trebuie să anunțe imediat poliția pentru a confirma controlul în trafic
dcs_rnd1_311|Festivalul de teatru internațional este prioritatea noastră, a mai adăugat Ion Dumitrel|Festivalul de teatru internațional este prioritatea noastră, a mai adăugat Ion Dumitrel
dcs_rnd1_312|Personajul principal e un pictor strălucit, dar care nu găsește recunoaștere|Personajul principal e un pictor strălucit, dar care nu găsește recunoaștere
dcs_rnd1_313|Candidații la un post municipal recurg, în general, la tot felul de voluntari studenți, pensionari, militanți de cartier|Candidații la un post municipal recurg, în general, la tot felul de voluntari studenți, pensionari, militanți de cartier
dcs_rnd1_314|Am încercat vreo șapte luni și uite că am reușit glumește ea|Am încercat vreo șapte luni și uite că am reușit glumește ea
dcs_rnd1_315|Pentru a învinge Steaua trebuie să fim hotărâți, agresivi, în sensul bun al cuvântului, și să mușcăm din adversar|Pentru a învinge Steaua trebuie să fim hotărâți, agresivi, în sensul bun al cuvântului, și să mușcăm din adversar
dcs_rnd1_316|Mă bucur foarte mult pentru reușita ei și îi vom pregăti o surpriză în clasă mai spune Doina Petrean|Mă bucur foarte mult pentru reușita ei și îi vom pregăti o surpriză în clasă mai spune Doina Petrean
dcs_rnd1_317|Prima proteză a fost tot din sponsorizare, din Spania|Prima proteză a fost tot din sponsorizare, din Spania
dcs_rnd1_318|El mi-a spus odată că are o firmă de pază|El mi-a spus odată că are o firmă de pază
dcs_rnd1_319|Nu spun că susțin acest lucru, dar poate că este o alternativă care trebuie analizată, a precizat acesta|Nu spun că susțin acest lucru, dar poate că este o alternativă care trebuie analizată, a precizat acesta
dcs_rnd1_320|Banii nu vor reprezenta motivul principal pentru lipsa rezultatelor, a completat Anghel|Banii nu vor reprezenta motivul principal pentru lipsa rezultatelor, a completat Anghel
dcs_rnd1_321|Vecinii se tem să mai iasă din casă din cauza rromilor care îi amenință și îi iau la bătaie|Vecinii se tem să mai iasă din casă din cauza rromilor care îi amenință și îi iau la bătaie
dcs_rnd1_322|Pentru oasele rupte în anii terorii staliniste|Pentru oasele rupte în anii terorii staliniste
dcs_rnd1_323|În cele trei zile nu se lucrează|În cele trei zile nu se lucrează
dcs_rnd1_324|La eliminarea lui Mera, un galben era de ajuns|La eliminarea lui Mera, un galben era de ajuns
dcs_rnd1_325|La ultimul nivel al turnurilor va exista o scară exterioară, pe care turiștii vor putea urca în cupola bisericii|La ultimul nivel al turnurilor va exista o scară exterioară, pe care turiștii vor putea urca în cupola bisericii
dcs_rnd1_326|Asta se întâmpla atunci|Asta se întâmpla atunci
dcs_rnd1_327|Căminul Poligrafie are camere cu patru paturi și două băi comune pe fiecare palier|Căminul Poligrafie are camere cu patru paturi și două băi comune pe fiecare palier
dcs_rnd1_328|A fost, în schimb, însoțită de râsete frecvente și de ropote de aplauze|A fost, în schimb, însoțită de râsete frecvente și de ropote de aplauze
dcs_rnd1_329|În urma impactului, pasagera din dreapta be em ve-ului a fost cea mai grav rănită|În urma impactului, pasagera din dreapta be em ve-ului a fost cea mai grav rănită
dcs_rnd1_330|A fost nevoit să lase familia acasă tocmai pentru că nu se descurcau cu banii|A fost nevoit să lase familia acasă tocmai pentru că nu se descurcau cu banii
dcs_rnd1_331|Toate secțiile spitalului în afară de blocul operator și secția nou născuți se confruntă cu problema lipsei lenjeriei curate|Toate secțiile spitalului în afară de blocul operator și secția nou născuți se confruntă cu problema lipsei lenjeriei curate
dcs_rnd1_332|Am venit ca să mă uit, nu să cumpăr|Am venit ca să mă uit, nu să cumpăr
dcs_rnd1_333|Există o nouă lege a educației și o nouă grilă de salarizare pentru profesori|Există o nouă lege a educației și o nouă grilă de salarizare pentru profesori
dcs_rnd1_334|Nu oricine ajunge să dubleze vocile actorilor într-un film|Nu oricine ajunge să dubleze vocile actorilor într-un film
dcs_rnd1_335|Cât durează până câștigă, nu poate spune|Cât durează până câștigă, nu poate spune
dcs_rnd1_336|În România activează peste patru mii de societăți cipriote, inclusiv două bănci comerciale|În România activează peste patru mii de societăți cipriote, inclusiv două bănci comerciale
dcs_rnd1_337|Potrivit Agerpres, șase soldați afgani au fost vătămați|Potrivit Agerpres, șase soldați afgani au fost vătămați
dcs_rnd1_338|Era o fată bună|Era o fată bună
dcs_rnd1_339|Îmi mai cumpăram reviste de specialitate, își aduce aminte tânărul arădean|Îmi mai cumpăram reviste de specialitate, își aduce aminte tânărul arădean
dcs_rnd1_340|Pentru acest succes handbalistele noastre au fost premiate cu douăzeci și cinci de mii de euro|Pentru acest succes handbalistele noastre au fost premiate cu douăzeci și cinci de mii de euro
dcs_rnd1_341|Erica are douăzeci și trei de ani și este secretară|Erica are douăzeci și trei de ani și este secretară
dcs_rnd1_342|Baschet, după care a făcut bezele publicului ca un star de cinema|Baschet, după care a făcut bezele publicului ca un star de cinema
dcs_rnd1_343|Fără jeturi de apă și spumă din abundență|Fără jeturi de apă și spumă din abundență
dcs_rnd1_344|Potrivit apelului sosit prin unu unu doi, o persoană a rămas încarcerată|Potrivit apelului sosit prin unu unu doi, o persoană a rămas încarcerată
dcs_rnd1_345|Tot respectul pentru el, e un om de echipă|Tot respectul pentru el, e un om de echipă
dcs_rnd1_346|Nu mi-am mai luat viză, pentru că am auzit pe la radio că nu ar mai trebui|Nu mi-am mai luat viză, pentru că am auzit pe la radio că nu ar mai trebui
dcs_rnd1_347|Am tras numeroase semnale de alarmă, dar nimeni nu vrea să audă|Am tras numeroase semnale de alarmă, dar nimeni nu vrea să audă
dcs_rnd1_348|El a fost apreciat ca jucător și vrem să rămână a mai spus Cornel Șfaițer|El a fost apreciat ca jucător și vrem să rămână a mai spus Cornel Șfaițer
dcs_rnd1_349|Nu mai sunt bani|Nu mai sunt bani
dcs_rnd1_350|În tot procesul de elaborare a codului am fost complet ignorat|În tot procesul de elaborare a codului am fost complet ignorat
dcs_rnd1_351|Nu-mi explic ce s-a întâmplat|Nu-mi explic ce s-a întâmplat
dcs_rnd1_352|Piața asigurărilor de apartamente din municipiul Bacău face față cu brio crizei economice|Piața asigurărilor de apartamente din municipiul Bacău face față cu brio crizei economice
dcs_rnd1_353|Anunțul a fost făcut la sfârșitul săptămânii trecute, me a pe ne precizând că a organizat o licitație deschisă|Anunțul a fost făcut la sfârșitul săptămânii trecute, me a pe ne precizând că a organizat o licitație deschisă
dcs_rnd1_354|Îmi place și să studiez|Îmi place și să studiez
dcs_rnd1_355|De când a început școala au început să vină tot mai mulți elevi la cafenea|De când a început școala au început să vină tot mai mulți elevi la cafenea
dcs_rnd1_356|Bujanovaci și Presevo sunt două comune cu populație majoritar albaneză|Bujanovaci și Presevo sunt două comune cu populație majoritar albaneză
dcs_rnd1_357|Copiii nu au alei să se dea cu bicicleta, iar comerțul ambulant întregește imaginea dezolantă a unei măreții pierdute|Copiii nu au alei să se dea cu bicicleta, iar comerțul ambulant întregește imaginea dezolantă a unei măreții pierdute
dcs_rnd1_358|În ultima vreme nu prea am mai vorbit cu el, pentru că a avut probleme|În ultima vreme nu prea am mai vorbit cu el, pentru că a avut probleme
dcs_rnd1_359|Toate marile orașe acordă gratuitate elevilor|Toate marile orașe acordă gratuitate elevilor
dcs_rnd1_360|Sunt mulțumit numai de scor, în rest este cel mai slab meci de când sunt la Iași|Sunt mulțumit numai de scor, în rest este cel mai slab meci de când sunt la Iași
dcs_rnd1_361|Rezultatele au fost neconcludente, dar au indicat că pilotul suferă de o tensiune scăzută și o lipsă de sodiu|Rezultatele au fost neconcludente, dar au indicat că pilotul suferă de o tensiune scăzută și o lipsă de sodiu
dcs_rnd1_362|Oamenii au sărit cu gălețile ca să recupereze din motorină speriați, localnicii au sunat la unu unu doi|Oamenii au sărit cu gălețile ca să recupereze din motorină speriați, localnicii au sunat la unu unu doi
dcs_rnd1_363|Din nou la jumătatea lunii octombrie pentru a discuta situația secției de petrochimie|Din nou la jumătatea lunii octombrie pentru a discuta situația secției de petrochimie
dcs_rnd1_364|Consiliul Județean Timiș și consiliul local Timișoara s-au aliat pentru atragerea banilor europeni necesari renovării centrului orașului|Consiliul Județean Timiș și consiliul local Timișoara s-au aliat pentru atragerea banilor europeni necesari renovării centrului orașului
dcs_rnd1_365|Compania nu a precizat când va fi pus spre vânzare acest sistem|Compania nu a precizat când va fi pus spre vânzare acest sistem
dcs_rnd1_366|Acolo locuiesc zece milioane de oameni|Acolo locuiesc zece milioane de oameni
dcs_rnd1_367|Polițiștii l-au prins după ce au găsit numărul lui de telefon în agenda îndrăgitei cântărețe|Polițiștii l-au prins după ce au găsit numărul lui de telefon în agenda îndrăgitei cântărețe
dcs_rnd1_368|Raportat la tehnica procesului tehnologic, proiectul de amploare a fost foarte greu de dus la bun sfârșit|Raportat la tehnica procesului tehnologic, proiectul de amploare a fost foarte greu de dus la bun sfârșit
dcs_rnd1_369|Să vedem ce poate cu un lot super valoros|Să vedem ce poate cu un lot super valoros
dcs_rnd1_370|În repriza a doua, timișorenii s-au dezlănțuit și au mai înscris de cinci ori|În repriza a doua, timișorenii s-au dezlănțuit și au mai înscris de cinci ori
dcs_rnd1_371|Am mai strâns bani pentru oameni care erau la ananghie, în general pentru bolnavi mărturisește el|Am mai strâns bani pentru oameni care erau la ananghie, în general pentru bolnavi mărturisește el
dcs_rnd1_372|Magistrații curții de apel Craiova își vor relua activitatea începând de astăzi|Magistrații curții de apel Craiova își vor relua activitatea începând de astăzi
dcs_rnd1_373|N-are rost să îl chinui|N-are rost să îl chinui
dcs_rnd1_374|În ultimele două luni, jucătorii de la Polii au petrecut doar câteva zile la Timișoara|În ultimele două luni, jucătorii de la Polii au petrecut doar câteva zile la Timișoara
dcs_rnd1_375|Acolo, la o expoziție de artă modernă, era prezentat prototipul unei lucrări a maestrului Angelo Rovența, fostul meu student|Acolo, la o expoziție de artă modernă, era prezentat prototipul unei lucrări a maestrului Angelo Rovența, fostul meu student
dcs_rnd1_376|La competiție se pot înscrie persoane cu vârsta cuprinsă între optsprezece și optzeci de ani|La competiție se pot înscrie persoane cu vârsta cuprinsă între optsprezece și optzeci de ani
dcs_rnd1_377|Au urmat sute de credincioși, unii având lumânări aprinse în mână|Au urmat sute de credincioși, unii având lumânări aprinse în mână
dcs_rnd1_378|Atmosfera va fi teribilă, ceea ce e foarte bine, asta întărește jucătorii noștri|Atmosfera va fi teribilă, ceea ce e foarte bine, asta întărește jucătorii noștri
dcs_rnd1_379|Și asta nu e tot|Și asta nu e tot
dcs_rnd1_380|Master planul va fi supus mâine aprobării consiliului local|Master planul va fi supus mâine aprobării consiliului local
dcs_rnd1_381|De asemenea, îmi plac mult arta și muzica, aici sunt destul de eclectică|De asemenea, îmi plac mult arta și muzica, aici sunt destul de eclectică
dcs_rnd1_382|Din nou sunt disfuncționalități|Din nou sunt disfuncționalități
dcs_rnd1_383|Planetariul Baia Mare vă propune și o variantă virtuală a acestui proiect cultural|Planetariul Baia Mare vă propune și o variantă virtuală a acestui proiect cultural
dcs_rnd1_384|Am auzit un zgomot foarte puternic și mult praf, moment în care am vrut să trag semnalul de alarmă|Am auzit un zgomot foarte puternic și mult praf, moment în care am vrut să trag semnalul de alarmă
dcs_rnd1_385|Șoferul mașinii și soția acestuia au fost transportați de urgență la spitalul județean de urgență Alba|Șoferul mașinii și soția acestuia au fost transportați de urgență la spitalul județean de urgență Alba
dcs_rnd1_386|Se obține de pe stratul frunzelor de pădure|Se obține de pe stratul frunzelor de pădure
dcs_rnd1_387|Atâta timp cât sunt în concediu medical, nu pot fi concediați, a spus Ion Popa, președintele sindicatului liber|Atâta timp cât sunt în concediu medical, nu pot fi concediați, a spus Ion Popa, președintele sindicatului liber
dcs_rnd1_388|Rețeta e similară, numai că în aluat a pus și iaurt și le-a dat altă formă|Rețeta e similară, numai că în aluat a pus și iaurt și le-a dat altă formă
dcs_rnd1_389|De asemenea, Covei a fost iertat de magistrați și în alte rânduri|De asemenea, Covei a fost iertat de magistrați și în alte rânduri
dcs_rnd1_390|Noi am lipit pe uși afișe cu metodologia cazărilor, ca să nu mai existe neclarități, a completat Iordache|Noi am lipit pe uși afișe cu metodologia cazărilor, ca să nu mai existe neclarități, a completat Iordache
dcs_rnd1_391|Învățământul e la pământ|Învățământul e la pământ
dcs_rnd1_392|Își dorește să viziteze Spania și Dubai|Își dorește să viziteze Spania și Dubai
dcs_rnd1_393|Dani Coman și Zapata au fost cei mai buni jucători de pe teren, cu parade senzaționale|Dani Coman și Zapata au fost cei mai buni jucători de pe teren, cu parade senzaționale
dcs_rnd1_394|De asemenea, s-a analizat modul de funcționare al administrației publice locale și județene și absorbția fondurilor europene|De asemenea, s-a analizat modul de funcționare al administrației publice locale și județene și absorbția fondurilor europene
dcs_rnd1_395|Toți cei care se vor implica în această campanie participă la o tombolă cu premii|Toți cei care se vor implica în această campanie participă la o tombolă cu premii
dcs_rnd1_396|Mâine, dacă aș primi o ofertă de a lucra în străinătate, aș accepta-o|Mâine, dacă aș primi o ofertă de a lucra în străinătate, aș accepta-o
dcs_rnd1_397|Și în două mii zece, bugetul prognozat pentru sănătate va fi de trei procente din pib|Și în două mii zece, bugetul prognozat pentru sănătate va fi de trei procente din pib
dcs_rnd1_398|Când o să tragem linie, la final, nu cred că vom scoate mare lucru|Când o să tragem linie, la final, nu cred că vom scoate mare lucru
dcs_rnd1_399|Principalul factor care te ajută să supraviețuiești este credința fermă în câteva valori|Principalul factor care te ajută să supraviețuiești este credința fermă în câteva valori
dcs_rnd1_400|La fel au pățit și părinții Mariei Lungu, care este și acum în spital|La fel au pățit și părinții Mariei Lungu, care este și acum în spital
dcs_rnd1_401|A învățat singură să citească, însușindu-și cunoștințe elementare de matematică de la tatăl ei, un american înstărit|A învățat singură să citească, însușindu-și cunoștințe elementare de matematică de la tatăl ei, un american înstărit
dcs_rnd1_402|Nu pot concepe o viață trăită cu indiferență|Nu pot concepe o viață trăită cu indiferență
dcs_rnd1_403|A trebuit să facă publicitate pentru a se afla că sunt acolo și pot să ofere un spectacol frumos|A trebuit să facă publicitate pentru a se afla că sunt acolo și pot să ofere un spectacol frumos
dcs_rnd1_404|Nu s-a stabilit încă dacă noul proiect va fi denumit la fel|Nu s-a stabilit încă dacă noul proiect va fi denumit la fel
dcs_rnd1_405|Jiu va primi pe teren propriu vizita celor de la Oțelul Galați|Jiu va primi pe teren propriu vizita celor de la Oțelul Galați
dcs_rnd1_406|Deoarece la categoria lui de vârstă nu mai are concurență, Alecu se pregătește acum pentru festivalurile internaționale|Deoarece la categoria lui de vârstă nu mai are concurență, Alecu se pregătește acum pentru festivalurile internaționale
dcs_rnd1_407|Apreciez această acțiune și sper ca numărul câinilor comunitari să se reducă, a spus Gheorghița Dina|Apreciez această acțiune și sper ca numărul câinilor comunitari să se reducă, a spus Gheorghița Dina
dcs_rnd1_408|Ei deja nici nu mai ascund asemenea acțiuni|Ei deja nici nu mai ascund asemenea acțiuni
dcs_rnd1_409|Nu mă interesează, nu cred într-un guvern politic|Nu mă interesează, nu cred într-un guvern politic
dcs_rnd1_410|Consolidarea terasamentului de aici a fost impusă ca urmare a inundațiilor din o mie nouă sute nouăzeci și nouă|Consolidarea terasamentului de aici a fost impusă ca urmare a inundațiilor din o mie nouă sute nouăzeci și nouă
dcs_rnd1_411|Aveam nevoie de libertate, libertatea pentru care m-am luptat, dar pe care nu o aveam în armată|Aveam nevoie de libertate, libertatea pentru care m-am luptat, dar pe care nu o aveam în armată
dcs_rnd1_412|Nu am muncit pentru bani chiar deloc, pentru că aveam ce-mi trebuia|Nu am muncit pentru bani chiar deloc, pentru că aveam ce-mi trebuia
dcs_rnd1_413|Am împărtășit din informațiile primite în cadrul proiectului|Am împărtășit din informațiile primite în cadrul proiectului
dcs_rnd1_414|Va avea loc un seminar dedicat eficienței energetice din sectorul privat|Va avea loc un seminar dedicat eficienței energetice din sectorul privat
dcs_rnd1_415|În vârstă de patruzeci și șase de ani|În vârstă de patruzeci și șase de ani
dcs_rnd1_416|România tinde să devină atracția numărul unu pentru amatorii de jafuri|România tinde să devină atracția numărul unu pentru amatorii de jafuri
dcs_rnd1_417|La eveniment participă câte douăzeci și cinci de operatori de turism din România și Ucraina|La eveniment participă câte douăzeci și cinci de operatori de turism din România și Ucraina
dcs_rnd1_418|Ei nu pot face clandestin această activitate, ne-a declarat șeful administrației piețelor agroalimentare Galați|Ei nu pot face clandestin această activitate, ne-a declarat șeful administrației piețelor agroalimentare Galați
dcs_rnd1_419|Toți elevii de la Lombardo Radice vorbesc fluent limba italiană|Toți elevii de la Lombardo Radice vorbesc fluent limba italiană
dcs_rnd1_420|Neamțul s-a întâlnit ieri cu Copos și susține că a ajuns la un acord în privința preluării Rapidului|Neamțul s-a întâlnit ieri cu Copos și susține că a ajuns la un acord în privința preluării Rapidului
dcs_rnd1_421|Când a ajuns la ureche, suveranul a încercat să-l alunge cu o lovitură, însă nu a reușit|Când a ajuns la ureche, suveranul a încercat să-l alunge cu o lovitură, însă nu a reușit
dcs_rnd1_422|Până atunci nu am mai practicat niciun sport|Până atunci nu am mai practicat niciun sport
dcs_rnd1_423|La realizarea oricărui sait este folosit bineînțeles un program|La realizarea oricărui sait este folosit bineînțeles un program
dcs_rnd1_424|În general iau lunar cam două sute de lei|În general iau lunar cam două sute de lei
dcs_rnd1_425|Douăzeci și trei septembrie o mie nouă sute cincizeci și patru, Ineu de Criș|Douăzeci și trei septembrie o mie nouă sute cincizeci și patru, Ineu de Criș
dcs_rnd1_426|Vor fi create cel puțin cinci mii de locuri de muncă|Vor fi create cel puțin cinci mii de locuri de muncă
dcs_rnd1_427|În caz contrar, firește, vom trebui să reducem numărul comisarilor|În caz contrar, firește, vom trebui să reducem numărul comisarilor
dcs_rnd1_428|Federer nu s-a regăsit, a dus dorul unui prim serviciu solid și astfel argentinianul a făcut cinci la doi|Federer nu s-a regăsit, a dus dorul unui prim serviciu solid și astfel argentinianul a făcut cinci la doi
dcs_rnd1_429|Trupa lui Petre Grigoraș a ajuns spaima oltenilor|Trupa lui Petre Grigoraș a ajuns spaima oltenilor
dcs_rnd1_430|Victima este de naționalitate maghiară, de specializare lăcătuș mecanic|Victima este de naționalitate maghiară, de specializare lăcătuș mecanic
dcs_rnd1_431|Prefectul Loredana Alexandru a fost premiată de comisia internațională pentru protecția fluviului Dunărea|Prefectul Loredana Alexandru a fost premiată de comisia internațională pentru protecția fluviului Dunărea
dcs_rnd1_432|Așa cum am spus, îmbin utilul cu plăcutul|Așa cum am spus, îmbin utilul cu plăcutul
dcs_rnd1_433|Păcatul său este că nu le inspiră teamă celorlalți fotbaliști, lucru care se reflectă și pe teren|Păcatul său este că nu le inspiră teamă celorlalți fotbaliști, lucru care se reflectă și pe teren
dcs_rnd1_434|Vom discuta în consiliul de administrație pentru a vedea cum putem să o ajutăm, a declarat ieri Anghel Petrescu|Vom discuta în consiliul de administrație pentru a vedea cum putem să o ajutăm, a declarat ieri Anghel Petrescu
dcs_rnd1_435|Au participat patru firme pentru lapte și nouă pentru corn|Au participat patru firme pentru lapte și nouă pentru corn
dcs_rnd1_436|Am acasă un cuptor în care bag produsele după ce le pictez|Am acasă un cuptor în care bag produsele după ce le pictez
dcs_rnd1_437|Împreună cu el am elaborat trei culegeri ale tinerilor poeți, membrii ai Cenaclului Semenicul|Împreună cu el am elaborat trei culegeri ale tinerilor poeți, membrii ai Cenaclului Semenicul
dcs_rnd1_438|Așa începe fiecare antrenament pe care sportivii slătineni îl desfășoară zilnic pe tatamii din sala de antrenamente|Așa începe fiecare antrenament pe care sportivii slătineni îl desfășoară zilnic pe tatamii din sala de antrenamente
dcs_rnd1_439|În cazul neconfirmării la timp a locului obținut, locurile neocupate vor fi redistribuite|În cazul neconfirmării la timp a locului obținut, locurile neocupate vor fi redistribuite
dcs_rnd1_440|Nu îmi plac oamenii răi, care îi dușmănesc pe ceilalți|Nu îmi plac oamenii răi, care îi dușmănesc pe ceilalți
dcs_rnd1_441|Creștinismul are legătură directă cu stilul de viață, nu poți să trăiești împotriva felului în care ești proiectat|Creștinismul are legătură directă cu stilul de viață, nu poți să trăiești împotriva felului în care ești proiectat
dcs_rnd1_442|Tinerii cu aceste deprinderi vin la școală|Tinerii cu aceste deprinderi vin la școală
dcs_rnd1_443|Eu cred cu toată convingerea că este cântecul care mă definește|Eu cred cu toată convingerea că este cântecul care mă definește
dcs_rnd1_444|Prima ocazie de gol le aparține ieșenilor|Prima ocazie de gol le aparține ieșenilor
dcs_rnd1_445|Toate amenajările sunt în conformitate cu normele inspectoratului de stat în construcții|Toate amenajările sunt în conformitate cu normele inspectoratului de stat în construcții
dcs_rnd1_446|Am visat de mulți ani să ajung acolo|Am visat de mulți ani să ajung acolo
dcs_rnd1_447|Prima ar fi că în vistieria goală a intrat a doua tranșă a împrumutului de la fe me i|Prima ar fi că în vistieria goală a intrat a doua tranșă a împrumutului de la fe me i
dcs_rnd1_448|Termenul pentru depunerea lucrărilor este zece octombrie, la galeria Foto Art, din piața unu decembrie|Termenul pentru depunerea lucrărilor este zece octombrie, la galeria Foto Art, din piața unu decembrie
dcs_rnd1_449|Este fiul unor imigranți germani veniți în Statele Unite ale Americii înainte de cel de-al doilea război mondial|Este fiul unor imigranți germani veniți în Statele Unite ale Americii înainte de cel de-al doilea război mondial
dcs_rnd1_450|Există o suspiciune de epizootie|Există o suspiciune de epizootie
dcs_rnd1_451|Intervenția a durat aproximativ o oră|Intervenția a durat aproximativ o oră
dcs_rnd1_452|La cursul meu nu prea lipsesc elevii|La cursul meu nu prea lipsesc elevii
dcs_rnd1_453|Soluția au găsit-o în Franța, la o firmă care folosește metoda ecologică de a curăța mașinile de patru ani|Soluția au găsit-o în Franța, la o firmă care folosește metoda ecologică de a curăța mașinile de patru ani
dcs_rnd1_454|Știu doar că au în lot mulți portughezi|Știu doar că au în lot mulți portughezi
dcs_rnd1_455|Moldovenii par să nu aibă probleme nici în întrecerea internă|Moldovenii par să nu aibă probleme nici în întrecerea internă
dcs_rnd1_456|Trei dintre bărbați au fost prinși, dar cel de-al patrulea, un urmărit local, a reușit să scape|Trei dintre bărbați au fost prinși, dar cel de-al patrulea, un urmărit local, a reușit să scape
dcs_rnd1_457|Scenariul semiblocajului rămâne actuala conducere a țării sau există o continuitate a politicii|Scenariul semiblocajului rămâne actuala conducere a țării sau există o continuitate a politicii
dcs_rnd1_458|Am salvat șaizeci de mii de locuri de muncă, în mod direct și indirect|Am salvat șaizeci de mii de locuri de muncă, în mod direct și indirect
dcs_rnd1_459|Credincioșii, bărbații într-o parte și femeile în cealaltă, s-au rugat în fața fațadei de vest a capitoliului|Credincioșii, bărbații într-o parte și femeile în cealaltă, s-au rugat în fața fațadei de vest a capitoliului
dcs_rnd1_460|O lună este enorm, sunt ca terminat spune micul muzician|O lună este enorm, sunt ca terminat spune micul muzician
dcs_rnd1_461|Detest foarte mult la oameni lipsa de respect și de caracter a unora|Detest foarte mult la oameni lipsa de respect și de caracter a unora
dcs_rnd1_462|Acum a ajuns în imposibilitatea de a le mai achita|Acum a ajuns în imposibilitatea de a le mai achita
dcs_rnd1_463|Cu cât sunt mai mici și mai multe, cu atât băutura este mai rafinată|Cu cât sunt mai mici și mai multe, cu atât băutura este mai rafinată
dcs_rnd1_464|La sfârșitul lunii august, în România erau peste șase sute unu mii de șomeri|La sfârșitul lunii august, în România erau peste șase sute unu mii de șomeri
